date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:18	485913/485913	---M--	200	added ('OK')	image/png	etag:73fbf941f83a35d40149cb7c614ecec5	https://www.shipito.com/fr/imgs/whatisshipito/logosm.png	D:/shipito/shipito/www.shipito.com/fr/imgs/whatisshipito/Logos_Mobile.png	(from https://www.shipito.com/fr/services/what-is-shipito)
14:45:18	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2023%20Jan%202024%2013:45:17%20GMT	https://www.shipito.com/imgs/locations/WhsCA3.png	D:/shipito/shipito/www.shipito.com/imgs/locations/WhsCA3.png	(from https://www.shipito.com/fr/help/locations)
14:45:20	364498/364498	---M--	200	added ('OK')	image/jpeg	etag:46e1a0dbc4fb548893a57c9d623a01f0	https://www.shipito.com/fr/imgs/whatisshipito/banner.jpg	D:/shipito/shipito/www.shipito.com/fr/imgs/whatisshipito/WhatIsShipito.jpg	(from https://www.shipito.com/fr/services/what-is-shipito)
14:45:20	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2023%20Jan%202024%2013:45:18%20GMT	https://www.shipito.com/imgs/locations/WhsCA4.png	D:/shipito/shipito/www.shipito.com/imgs/locations/WhsCA4.png	(from https://www.shipito.com/fr/help/locations)
14:45:20	166192/166192	---M--	200	added ('OK')	image/png	etag:11d03db0ebb4c9c200d4cd513631ae16	https://www.shipito.com/en/imgs/locations/WhsCA2.png	D:/shipito/shipito/www.shipito.com/en/imgs/locations/California2.png	(from https://www.shipito.com/fr/help/locations)
14:45:21	89408/89408	---M--	200	added ('OK')	image/png	etag:53e3a72e5ffe4d5744e90920620416af	https://www.shipito.com/en/imgs/locations/WhsCA3.png	D:/shipito/shipito/www.shipito.com/en/imgs/locations/California3.png	(from https://www.shipito.com/fr/help/locations)
14:45:21	66221/66221	---M--	200	added ('OK')	image/png	etag:4cd05d709b879108d8a3d57a457f2e47	https://www.shipito.com/en/imgs/locations/WhsCA4.png	D:/shipito/shipito/www.shipito.com/en/imgs/locations/California4.png	(from https://www.shipito.com/fr/help/locations)
14:45:21	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2023%20Jan%202024%2013:45:20%20GMT	https://www.shipito.com/imgs/locations/WhsCA5.png	D:/shipito/shipito/www.shipito.com/imgs/locations/WhsCA5.png	(from https://www.shipito.com/fr/help/locations)
14:45:22	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2023%20Jan%202024%2013:45:21%20GMT	https://www.shipito.com/imgs/locations/WhsOR1.png	D:/shipito/shipito/www.shipito.com/imgs/locations/WhsOR1.png	(from https://www.shipito.com/fr/help/locations)
14:45:22	56705/56705	---M--	200	added ('OK')	image/png	etag:3301b7948086c8c492b69abb0f32a9e4	https://www.shipito.com/en/imgs/locations/WhsCA5.png	D:/shipito/shipito/www.shipito.com/en/imgs/locations/California5.png	(from https://www.shipito.com/fr/help/locations)
